response_id,class,response_text,,,,,
response_1,not_flagged,I try and avoid this sort of conflict,,,,,
response_2,flagged,Had a friend open up to me about his mental addiction to weed and how it was taking over his life and making him depressed,,,,,
response_3,flagged,"I saved a girl from suicide once. She was going to swallow a bunch of pills and I talked her out of it in a very calm, loving way.",,,,,
response_4,not_flagged,i cant think of one really...i think i may have indirectly,,,,,
response_5,not_flagged,"Only really one friend who doesn't fit into the any of the above categories. Her therapist calls it spiraling."" Anyway she pretty much calls me any time she is frustrated by something with  her boyfriend to ask me if it's logical or not. Before they would just fight and he would call her crazy. Now she asks me if it's ok he didn't say ""please"" when he said  ""hand me the remote.""",,,,,
response_6,not_flagged,a couple of years ago my friends was going to switch school because of low self esteem too. I helped him overcome that shit too,,,,,
response_7,flagged,Roommate when he was going through death and loss of a gf. Did anything to get him out of his bedroom.,,,,,
response_8,flagged,i've had a couple of friends (you could say more than friends) with quite severe depression/ emotional problems. i helped for a while but eventually both relationships started to suffer as a result of both our personal problems,,,,,
response_9,not_flagged,Listened to someone talk about relationship troubles. Offered some advice from personal experience.,,,,,
response_10,flagged,"I will always listen. I comforted my sister when she lost her virgity the same night she walked in on her boyfriend cutting himself, and then our parents found out she threw a house part. Simply bring supportive was my focus.",,,,,
response_11,not_flagged,"Took a week off work, packed up the car and picked up a friend who was on the verge of losing it and went camping/surfing for a week. His parents were a big part of the problem and being away from them and others and physical activity every day for a week. but more just being around helped i feel.",,,,,
response_12,flagged,On the memorial anniversary of my friends father I was with him to give support and remind him that he's not alone.,,,,,
response_13,not_flagged,Anxious girlfriend always needs my help,,,,,
response_14,not_flagged,Never,,,,,
response_15,not_flagged,You as a mom,,,,,
response_16,flagged,"ex gf was a cutter/suicidal, got her out of her own issues while slowly dying inside.",,,,,
response_17,not_flagged,I have helped advise friends who have faced circumstances similar to mine,,,,,
response_18,not_flagged,I've helped friends out before,,,,,
response_19,not_flagged,A friend that is a girl and just talk to her tryin to make her feel better,,,,,
response_20,not_flagged,expressing concern and openness to friends when they are dealing with troubles. letting them know they can fell open for dialog.,,,,,
response_21,not_flagged,listening to girlfriend's problems,,,,,
response_22,flagged,"Friend was thinking about suicide, after a few days I managed to talk her down.",,,,,
response_23,flagged,"Having gone through depression and anxiety myself, I understand the struggles and have a few personal methods to cope when stuff hits. Having this knowledge has allowed me to help several people on the internet as well as my other friends when they have faced similar issues and talk to me about them. I understand how important listening is and offer my experiences to help them get through what they face.",,,,,
